Index,Coefficient
00,-im * (a .^ 8 .* omega .^ 2 .* x .^ 2 .* (x .^ 4 - 3 * x .^ 2 + 2) + a .^ 7 .* omega .* x .* (x .^ 2 - 1) .* (-3 * im * M .* omega .* x .^ 2 + 4 * m .* x + 8) + a .^ 6 .* (-m .^ 2 .* x .^ 2 .* (x .^ 2 - 2) + m .* (6 * im * M .* omega .* x .^ 5 + x .^ 3 .* (-6 * im * M .* omega - 4) + 8 * x) + 2 * omega .^ 2 .* r .* x .^ 6 .* (-2 * M + r) + 2 * omega .* r .* (omega .* r + 4im) + x .^ 4 .* (M .* omega .* (omega .* r - 4im) - 6 * omega .^ 2 .* r .^ 2 + 8 * im * omega .* r - 6) + x .^ 2 .* (M .* omega .* (3 * omega .* r + 4im) + 2 * omega .^ 2 .* r .^ 2 - 16 * im * omega .* r + 10)) + a .^ 5 .* (x .^ 2 - 1) .* (12 * M .^ 2 .* omega .* x .^ 3 - 3 * im * M .* m .^ 2 .* x .^ 3 + 4 * im * M .* m .* x .^ 2 + M .* x .* (-3 * im * omega .^ 2 .* r .^ 2 .* (2 * x .^ 2 - 3) - 4 * omega .* r .* (3 * x .^ 2 + 8) + 6im) + 4 * m .* r .^ 2 .* (2 * omega .* x .^ 2 + omega) + m .* r .* (x .^ 2 .* (6 * M .* omega - 4im) + 8im) + 24 * omega .* r .^ 2 .* x) + a .^ 4 .* (4 * M .^ 2 .* x .^ 2 .* (x .^ 2 - 1) .* (-3 * m .* x + omega .* r .* (omega .* r .* (x .^ 2 - 1) - 7im)) + M .* r .* (m .^ 2 .* (-7 * x .^ 4 + 3 * x .^ 2) + 2 * m .* x .* (9 * im * omega .* r + x .^ 4 .* (3 * im * omega .* r + 6) + 2 * x .^ 2 .* (-6 * im * omega .* r + 1) - 16) - 4 * omega .^ 2 .* r .^ 2 .* x .^ 6 - 9 * omega .^ 2 .* r .^ 2 - 28 * im * omega .* r + x .^ 4 .* (-10 * omega .^ 2 .* r .^ 2 + 4 * im * omega .* r + 24) + x .^ 2 .* (23 * omega .^ 2 .* r .^ 2 + 24 * im * omega .* r - 38) - 2) + r .^ 2 .* (m .^ 2 .* (-x .^ 4 + 2 * x .^ 2 + 2) + m .* (-8 * x .^ 3 + 20 * x) + omega .^ 2 .* r .^ 2 .* x .^ 6 + 5 * omega .^ 2 .* r .^ 2 + 16 * im * omega .* r + x .^ 4 .* (-3 * omega .^ 2 .* r .^ 2 + 16 * im * omega .* r - 12) + x .^ 2 .* (-3 * omega .^ 2 .* r .^ 2 - 32 * im * omega .* r + 22) + 2)) + a .^ 3 .* r .* (x .^ 2 - 1) .* (9 * im * M .* m .^ 2 .* r .* x + 2 * m .* (2 * M .^ 2 .* x .^ 2 .* (2 * omega .* r + 7im) + M .* r .* (-9 * omega .* r + 3 * x .^ 2 .* (omega .* r - 4im) - 14im) + 2 * r .^ 2 .* (2 * omega .* r + x .^ 2 .* (omega .* r - 1im) + 3im)) + x .* (4 * M .^ 2 .* (omega .* r .* (3 * x .^ 2 - 1) - 6im) + M .* r .* (-3 * im * omega .^ 2 .* r .^ 2 .* (x .^ 2 - 6) - 4 * omega .* r .* (3 * x .^ 2 + 7) + 12im) + 24 * omega .* r .^ 3)) + a .^ 2 .* r .^ 2 .* (4 * M .^ 2 .* (m .^ 2 .* x .^ 2 + m .* x .* (5 * x .^ 2 - 1) + omega .^ 2 .* r .^ 2 + 3 * im * omega .* r + x .^ 4 .* (omega .^ 2 .* r .^ 2 - 3 * im * omega .* r - 6) + x .^ 2 .* (-2 * omega .^ 2 .* r .^ 2 + 8) + 2) - M .* r .* (-m .^ 2 .* (x .^ 2 - 9) + 2 * m .* x .* (-9 * im * omega .* r + x .^ 2 .* (9 * im * omega .* r + 10) + 6) + 14 * omega .^ 2 .* r .^ 2 + 20 * im * omega .* r + x .^ 4 .* (11 * omega .^ 2 .* r .^ 2 - 8 * im * omega .* r - 24) + x .^ 2 .* (-25 * omega .^ 2 .* r .^ 2 - 12 * im * omega .* r + 44) + 12) + r .^ 2 .* (3 * m .^ 2 - 4 * m .* x .* (x .^ 2 - 4) + 4 * omega .^ 2 .* r .^ 2 + 8 * im * omega .* r + 2 * x .^ 4 .* (4 * im * omega .* r - 3) - 2 * x .^ 2 .* (2 * omega .^ 2 .* r .^ 2 + 8 * im * omega .* r - 7) + 4)) + a .* r .^ 2 .* (x .^ 2 - 1) .* (2 * m .* r .* (M .^ 2 .* (4 * omega .* r + 6im) - M .* r .* (9 * omega .* r + 4im) + 2 * r .^ 2 .* (omega .* r + im)) + x .* (24 * im * M .^ 3 - 4 * M .^ 2 .* r .* (omega .* r + 6im) + M .* r .^ 2 .* (9 * im * omega .^ 2 .* r .^ 2 + 4 * omega .* r + 6im) + 8 * omega .* r .^ 4)) + r .^ 3 .* (8 * M .^ 3 .* (x .^ 2 - 1) + 4 * M .^ 2 .* r .* (m .^ 2 + 4 * m .* x + im * omega .* r .* (x .^ 2 - 1) + 4) + M .* r .^ 2 .* (-4 * m .^ 2 - 16 * m .* x - 5 * omega .^ 2 .* r .^ 2 + 8 * im * omega .* r + x .^ 2 .* (5 * omega .^ 2 .* r .^ 2 - 8 * im * omega .* r - 6) - 10) + r .^ 3 .* (m .^ 2 + 4 * m .* x + omega .^ 2 .* r .^ 2 + x .^ 2 .* (-omega .^ 2 .* r .^ 2 + 2) + 2))) ./ (3 * M .* (a .^ 2 + r .* (-2 * M + r)) .^ 2 .* (x .^ 2 - 1) .* (a .* x - im * r) .^ 3)
01,im * x .* (a .^ 2 .* (3 * x .^ 2 - 4) - r .^ 2) ./ (3 * M .* sqrt(1 - x .^ 2) .* (a .* x - im * r) .^ 3)
02,-(-im * a .* x + r) ./ (3 * M .* (im * a .* x + r) .^ 2)
03,0
04,0
05,0
06,0
10,(2 * a .^ 2 .* (-3 * M .* x .^ 2 + r .* (3 * x .^ 2 - 2)) + 2 * r .^ 2 .* (M + r)) ./ (3 * M .* (im * a .* x + r) .^ 3)
11,0
12,0
13,0
14,0
15,0
16,0
20,(-im * a .^ 3 .* x + a .^ 2 .* (-3 * M .* x .^ 2 + r) + im * a .* r .* x .* (8 * M - r) + r .^ 2 .* (M + r)) ./ (3 * M .* (im * a .* x + r) .^ 2)
21,0
22,0
23,0
24,0
25,0
26,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
