Index,Coefficient
00,-r .* (a .^ 2 .* omega - a .* m + omega .* r .^ 2) .* (a .^ 4 .* omega .* x .^ 2 + a .^ 3 .* m .* x .^ 2 + a .^ 2 .* omega .* r .* (r .* x .^ 2 + r - 4 * x .^ 2 + 2) + a .* m .* r .* (r - 2) + omega .* r .^ 3 .* (r - 2)) ./ ((a .^ 2 + r .* (r - 2)) .^ 2 .* (a .^ 2 .* x .^ 2 + r .^ 2) .^ 3)
01,4 * a .^ 2 .* r .* x .* sqrt(1 - x .^ 2) ./ (a .^ 2 .* x .^ 2 + r .^ 2) .^ 4
02,0
03,0
04,0
05,0
06,0
10,(a .^ 4 .* (-x .^ 4 + x .^ 2) + a .^ 2 .* r .* (r .* (x .^ 2 - 3) + 2 * x .^ 2) - 2 * r .^ 3 .* (r - 1)) ./ (a .^ 2 .* x .^ 2 + r .^ 2) .^ 4
11,0
12,0
13,0
14,0
15,0
16,0
20,-r .* (a .^ 2 .* x .^ 2 + r .^ 2 - 2 * r) ./ (a .^ 2 .* x .^ 2 + r .^ 2) .^ 3
21,0
22,0
23,0
24,0
25,0
26,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
