Index,Coefficient
00,-M .* pertparam .* (m .^ 5 .* r .^ 3 .* (-2 * M + r) .^ 2 .* (omega .* r + im) - m .^ 4 .* r .^ 2 .* x .* (-2 * M + r) .^ 2 .* (4 * im * M + 3 * r .* (3 * omega .* r + 2im)) - im * m .^ 3 .* r .* (2 * M - r) .* (48 * M .^ 3 .* (x .^ 2 - 1) + 8 * M .^ 2 .* r .* (-im * omega .* r + x .^ 2 .* (im * omega .* r - 16) + 8) + M .* r .^ 2 .* (-19 * omega .^ 2 .* r .^ 2 - 9 * im * omega .* r + x .^ 2 .* (19 * omega .^ 2 .* r .^ 2 + 65 * im * omega .* r + 52) - 28) + r .^ 3 .* (-2 * im * omega .^ 3 .* r .^ 3 .* (x .^ 2 - 1) - 3 * omega .^ 2 .* r .^ 2 .* (x .^ 2 - 1) - im * omega .* r .* (31 * x .^ 2 - 3) + 4)) + im * m .^ 2 .* r .* x .* (2 * M - r) .* (416 * M .^ 3 .* (x .^ 2 - 1) + 8 * M .^ 2 .* r .* (-11 * im * omega .* r + x .^ 2 .* (11 * im * omega .* r - 97) + 77) + 2 * M .* r .^ 2 .* (-47 * omega .^ 2 .* r .^ 2 - 7 * im * omega .* r + x .^ 2 .* (47 * omega .^ 2 .* r .^ 2 + 43 * im * omega .* r + 208) - 144) + r .^ 3 .* (9 * im * omega .^ 3 .* r .^ 3 + 19 * omega .^ 2 .* r .^ 2 + 18 * im * omega .* r + x .^ 2 .* (-9 * im * omega .^ 3 .* r .^ 3 - 19 * omega .^ 2 .* r .^ 2 - 54 * im * omega .* r - 66) + 42)) + im * m .* (2880 * M .^ 5 .* (x .^ 2 - 1) .^ 2 + 16 * M .^ 4 .* r .* (x .^ 2 - 1) .* (-45 * im * omega .* r + 9 * im * x .^ 2 .* (5 * omega .* r + 62im) + 422) - 4 * M .^ 3 .* r .^ 2 .* (omega .^ 2 .* r .^ 2 + 338 * im * omega .* r + x .^ 4 .* (omega .^ 2 .* r .^ 2 + 466 * im * omega .* r - 2760) - 2 * x .^ 2 .* (omega .^ 2 .* r .^ 2 + 402 * im * omega .* r - 2120) - 1544) + 2 * M .^ 2 .* r .^ 3 .* (34 * im * omega .^ 3 .* r .^ 3 + 15 * omega .^ 2 .* r .^ 2 + 532 * im * omega .* r + x .^ 4 .* (34 * im * omega .^ 3 .* r .^ 3 - 133 * omega .^ 2 .* r .^ 2 + 696 * im * omega .* r - 3368) + 2 * x .^ 2 .* (-34 * im * omega .^ 3 .* r .^ 3 + 59 * omega .^ 2 .* r .^ 2 - 630 * im * omega .* r + 2280) - 1384) + M .* r .^ 4 .* (19 * omega .^ 4 .* r .^ 4 - 35 * im * omega .^ 3 .* r .^ 3 + 2 * omega .^ 2 .* r .^ 2 - 384 * im * omega .* r + x .^ 4 .* (19 * omega .^ 4 .* r .^ 4 - 11 * im * omega .^ 3 .* r .^ 3 + 230 * omega .^ 2 .* r .^ 2 - 332 * im * omega .* r + 2020) + x .^ 2 .* (-38 * omega .^ 4 .* r .^ 4 + 46 * im * omega .^ 3 .* r .^ 3 - 232 * omega .^ 2 .* r .^ 2 + 780 * im * omega .* r - 2440) + 612) + r .^ 5 .* (-im * omega .^ 5 .* r .^ 5 - 4 * omega .^ 4 .* r .^ 4 + 5 * im * omega .^ 3 .* r .^ 3 - omega .^ 2 .* r .^ 2 + 54 * im * omega .* r + x .^ 4 .* (-im * omega .^ 5 .* r .^ 5 - 4 * omega .^ 4 .* r .^ 4 - 7 * im * omega .^ 3 .* r .^ 3 - 41 * omega .^ 2 .* r .^ 2 + 10 * im * omega .* r - 238) + x .^ 2 .* (2 * im * omega .^ 5 .* r .^ 5 + 8 * omega .^ 4 .* r .^ 4 + 2 * im * omega .^ 3 .* r .^ 3 + 42 * omega .^ 2 .* r .^ 2 - 80 * im * omega .* r + 260) - 54)) - im * x .* (2 * M - r) .* (x .^ 2 - 1) .* (2880 * M .^ 4 .* (x .^ 2 - 1) + 16 * M .^ 3 .* r .* (-45 * im * omega .* r + 45 * im * x .^ 2 .* (omega .* r + 8im) + 304) - 4 * M .^ 2 .* r .^ 2 .* (-3 * omega .^ 2 .* r .^ 2 - 220 * im * omega .* r + 3 * x .^ 2 .* (omega .^ 2 .* r .^ 2 + 92 * im * omega .* r - 360) + 688) + 4 * M .* r .^ 3 .* (-9 * im * omega .^ 3 .* r .^ 3 - 3 * omega .^ 2 .* r .^ 2 - 102 * im * omega .* r + 3 * im * x .^ 2 .* (3 * omega .^ 3 .* r .^ 3 + 5 * im * omega .^ 2 .* r .^ 2 + 44 * omega .* r + 120im) + 136) + r .^ 4 .* (-3 * omega .^ 4 .* r .^ 4 + 10 * im * omega .^ 3 .* r .^ 3 - 2 * omega .^ 2 .* r .^ 2 + 68 * im * omega .* r + 3 * x .^ 2 .* (omega .^ 4 .* r .^ 4 - 2 * im * omega .^ 3 .* r .^ 3 + 10 * omega .^ 2 .* r .^ 2 - 20 * im * omega .* r + 60) - 12))) ./ (8 * r .^ 10 .* (2 * M - r) .^ 3 .* (x .^ 2 - 1) .^ 2)
01,im * M .* pertparam .* (2880 * M .^ 5 .* (x .^ 2 - 1) .^ 2 + 16 * M .^ 4 .* r .* (x .^ 2 - 1) .* (-6 * m .^ 2 + 18 * m .* x - 45 * im * omega .* r + x .^ 2 .* (45 * im * omega .* r - 382) + 392) - 4 * M .^ 3 .* r .^ 2 .* (m .^ 2 .* (-4 * im * omega .* r + x .^ 2 .* (4 * im * omega .* r - 50) + 42) + 4 * m .* x .* (3 * im * omega .* r + x .^ 2 .* (-3 * im * omega .* r + 31) - 23) + omega .^ 2 .* r .^ 2 + 318 * im * omega .* r + x .^ 4 .* (omega .^ 2 .* r .^ 2 + 302 * im * omega .* r - 1204) - 2 * x .^ 2 .* (omega .^ 2 .* r .^ 2 + 310 * im * omega .* r - 1253) - 1338) + 2 * M .^ 2 .* r .^ 3 .* (4 * im * m .^ 3 .* x .* (omega .* r + im) + m .^ 2 .* (3 * omega .^ 2 .* r .^ 2 - 27 * im * omega .* r + x .^ 2 .* (-3 * omega .^ 2 .* r .^ 2 + 7 * im * omega .* r - 78) + 70) + m .* x .* (7 * omega .^ 2 .* r .^ 2 + 95 * im * omega .* r + x .^ 2 .* (-7 * omega .^ 2 .* r .^ 2 - 61 * im * omega .* r + 168) - 90) + 16 * im * omega .^ 3 .* r .^ 3 - 6 * omega .^ 2 .* r .^ 2 + 425 * im * omega .* r + x .^ 4 .* (16 * im * omega .^ 3 .* r .^ 3 + 3 * omega .^ 2 .* r .^ 2 + 404 * im * omega .* r - 828) + x .^ 2 .* (-32 * im * omega .^ 3 .* r .^ 3 + 3 * omega .^ 2 .* r .^ 2 - 847 * im * omega .* r + 1830) - 1110) + M .* r .^ 4 .* (8 * m .^ 3 .* (-im * omega .* r .* x + x) + m .^ 2 .* (-5 * omega .^ 2 .* r .^ 2 + 41 * im * omega .* r + x .^ 2 .* (5 * omega .^ 2 .* r .^ 2 - im * omega .* r + 54) - 62) + m .* x .* (-4 * im * omega .^ 3 .* r .^ 3 - 5 * omega .^ 2 .* r .^ 2 - 143 * im * omega .* r + x .^ 2 .* (4 * im * omega .^ 3 .* r .^ 3 + 5 * omega .^ 2 .* r .^ 2 + 75 * im * omega .* r - 108) + 48) + 3 * omega .^ 4 .* r .^ 4 - 17 * im * omega .^ 3 .* r .^ 3 + 29 * omega .^ 2 .* r .^ 2 - 247 * im * omega .* r + x .^ 4 .* (3 * omega .^ 4 .* r .^ 4 - 19 * im * omega .^ 3 .* r .^ 3 + 12 * omega .^ 2 .* r .^ 2 - 256 * im * omega .* r + 200) + x .^ 2 .* (-6 * omega .^ 4 .* r .^ 4 + 36 * im * omega .^ 3 .* r .^ 3 - 41 * omega .^ 2 .* r .^ 2 + 539 * im * omega .* r - 534) + 442) - r .^ 5 .* (2 * m .^ 3 .* (-im * omega .* r .* x + x) + m .^ 2 .* (-omega .^ 2 .* r .^ 2 + 9 * im * omega .* r + x .^ 2 .* (omega .^ 2 .* r .^ 2 + im * omega .* r + 7) - 11) + m .* x .* (-2 * im * omega .^ 3 .* r .^ 3 + omega .^ 2 .* r .^ 2 - 30 * im * omega .* r + x .^ 2 .* (2 * im * omega .^ 3 .* r .^ 3 - omega .^ 2 .* r .^ 2 + 13 * im * omega .* r - 14) + 7) + omega .^ 4 .* r .^ 4 - im * omega .^ 3 .* r .^ 3 + 6 * omega .^ 2 .* r .^ 2 - 21 * im * omega .* r + x .^ 4 .* (omega .^ 4 .* r .^ 4 - 2 * im * omega .^ 3 .* r .^ 3 + 2 * omega .^ 2 .* r .^ 2 - 28 * im * omega .* r - 4) + x .^ 2 .* (-2 * omega .^ 4 .* r .^ 4 + 3 * im * omega .^ 3 .* r .^ 3 - 8 * omega .^ 2 .* r .^ 2 + 58 * im * omega .* r - 11) + 33)) ./ (8 * r .^ 10 .* (1 - x .^ 2) .^ (3 // 2) .* (2 * M - r) .^ 3)
02,M .* pertparam .* (-2 * m .^ 3 .* r .^ 2 .* (2 * M - r) .* (omega .* r + im) + 2 * m .^ 2 .* r .* x .* (2 * M - r) .* (4 * im * M + r .* (5 * omega .* r + 2im)) + m .* (48 * im * M .^ 3 .* (x .^ 2 - 1) - 8 * M .^ 2 .* r .* (-omega .* r + x .^ 2 .* (omega .* r + 16im) - 8im) + M .* r .^ 2 .* (-19 * im * omega .^ 2 .* r .^ 2 + omega .* r + im * x .^ 2 .* (19 * omega .^ 2 .* r .^ 2 + 35 * im * omega .* r + 82) - 36im) + r .^ 3 .* (-2 * omega .^ 3 .* r .^ 3 + 3 * im * omega .^ 2 .* r .^ 2 + omega .* r + x .^ 2 .* (2 * omega .^ 3 .* r .^ 3 - 3 * im * omega .^ 2 .* r .^ 2 + 16 * omega .* r - 15im) + 8im)) - im * x .* (368 * M .^ 3 .* (x .^ 2 - 1) + 4 * M .^ 2 .* r .* (-20 * im * omega .* r + 5 * im * x .^ 2 .* (4 * omega .* r + 29im) + 127) + M .* r .^ 2 .* (-27 * omega .^ 2 .* r .^ 2 + 67 * im * omega .* r + x .^ 2 .* (27 * omega .^ 2 .* r .^ 2 - 49 * im * omega .* r + 304) - 232) + r .^ 3 .* (im * omega .^ 3 .* r .^ 3 + 10 * omega .^ 2 .* r .^ 2 - 9 * im * omega .* r + x .^ 2 .* (-im * omega .^ 3 .* r .^ 3 - 10 * omega .^ 2 .* r .^ 2 - 53) + 35))) ./ (8 * r .^ 9 .* (-2 * M + r) .^ 2 .* (x .^ 2 - 1))
03,im * M .* pertparam .* (48 * M .^ 3 .* (x .^ 2 - 1) + 4 * M .^ 2 .* r .* (-2 * im * omega .* r + x .^ 2 .* (2 * im * omega .* r - 11) + 15) + M .* r .^ 2 .* (4 * im * m .* x .* (omega .* r + im) - 3 * omega .^ 2 .* r .^ 2 + 7 * im * omega .* r + x .^ 2 .* (3 * omega .^ 2 .* r .^ 2 - 11 * im * omega .* r + 8) - 24) + r .^ 3 .* (2 * m .* (-im * omega .* r .* x + x) + omega .^ 2 .* r .^ 2 - im * omega .* r + x .^ 2 .* (-omega .^ 2 .* r .^ 2 + 3 * im * omega .* r + 1) + 3)) ./ (8 * r .^ 9 .* sqrt(1 - x .^ 2) .* (-2 * M + r) .^ 2)
04,M .* pertparam .* (4 * im * M .* x - m .* r .* (omega .* r + im) + r .* x .* (omega .* r - 2im)) ./ (8 * r .^ 8 .* (2 * M - r))
05,0
06,0
10,-im * M .* pertparam .* (m .^ 4 .* r .^ 2 .* x .* (-2 * M + r) .^ 2 + m .^ 3 .* r .* (2 * M - r) .* (18 * M .^ 2 .* (x .^ 2 - 1) + M .* r .* (4 * im * omega .* r + x .^ 2 .* (-4 * im * omega .* r - 29) + 13) + r .^ 2 .* (-5 * im * omega .* r + x .^ 2 .* (5 * im * omega .* r + 8))) - m .^ 2 .* r .* x .* (2 * M - r) .* (160 * M .^ 2 .* (x .^ 2 - 1) + 2 * M .* r .* (5 * im * omega .* r + x .^ 2 .* (-5 * im * omega .* r - 94) + 74) + r .^ 2 .* (-omega .^ 2 .* r .^ 2 - 22 * im * omega .* r + x .^ 2 .* (omega .^ 2 .* r .^ 2 + 22 * im * omega .* r + 46) - 26)) - m .* (1248 * M .^ 4 .* (x .^ 2 - 1) .^ 2 + 8 * M .^ 3 .* r .* (x .^ 2 - 1) .* (-35 * im * omega .* r + x .^ 2 .* (35 * im * omega .* r - 393) + 287) + 2 * M .^ 2 .* r .^ 2 .* (2 * omega .^ 2 .* r .^ 2 - 197 * im * omega .* r + x .^ 4 .* (2 * omega .^ 2 .* r .^ 2 - 205 * im * omega .* r + 1468) + x .^ 2 .* (-4 * omega .^ 2 .* r .^ 2 + 402 * im * omega .* r - 2208) + 772) + M .* r .^ 3 .* (8 * im * omega .^ 3 .* r .^ 3 - 45 * omega .^ 2 .* r .^ 2 + 176 * im * omega .* r + x .^ 4 .* (8 * im * omega .^ 3 .* r .^ 3 - 53 * omega .^ 2 .* r .^ 2 + 128 * im * omega .* r - 1194) + 2 * x .^ 2 .* (-8 * im * omega .^ 3 .* r .^ 3 + 49 * omega .^ 2 .* r .^ 2 - 152 * im * omega .* r + 792) - 454) + r .^ 4 .* (im * omega .^ 3 .* r .^ 3 + 8 * omega .^ 2 .* r .^ 2 - 30 * im * omega .* r + x .^ 4 .* (im * omega .^ 3 .* r .^ 3 + 12 * omega .^ 2 .* r .^ 2 - 2 * im * omega .* r + 178) + x .^ 2 .* (-2 * im * omega .^ 3 .* r .^ 3 - 20 * omega .^ 2 .* r .^ 2 + 32 * im * omega .* r - 212) + 50)) + 2 * x .* (2 * M - r) .* (x .^ 2 - 1) .* (624 * M .^ 3 .* (x .^ 2 - 1) + 4 * M .^ 2 .* r .* (-33 * im * omega .* r + x .^ 2 .* (33 * im * omega .* r - 234) + 190) + 2 * M .* r .^ 2 .* (-3 * omega .^ 2 .* r .^ 2 + 57 * im * omega .* r + 3 * x .^ 2 .* (omega .^ 2 .* r .^ 2 - 21 * im * omega .* r + 78) - 130) + r .^ 3 .* (7 * omega .^ 2 .* r .^ 2 - 22 * im * omega .* r - 3 * x .^ 2 .* (3 * omega .^ 2 .* r .^ 2 - 6 * im * omega .* r + 26) + 18))) ./ (8 * r .^ 9 .* (-2 * M + r) .^ 2 .* (x .^ 2 - 1) .^ 2)
11,im * M .* pertparam .* (-1248 * M .^ 4 .* (x .^ 2 - 1) .^ 2 + 4 * M .^ 3 .* r .* (x .^ 2 - 1) .* (9 * m .^ 2 - 27 * m .* x + 70 * im * omega .* r + x .^ 2 .* (-70 * im * omega .* r + 524) - 541) - 2 * M .^ 2 .* r .^ 2 .* (m .^ 2 .* (30 * x .^ 2 - 26) + 2 * m .* x .* (-2 * im * omega .* r + x .^ 2 .* (2 * im * omega .* r - 41) + 33) + 10 * omega .^ 2 .* r .^ 2 - 207 * im * omega .* r + x .^ 4 .* (10 * omega .^ 2 .* r .^ 2 - 201 * im * omega .* r + 608) - 4 * x .^ 2 .* (5 * omega .^ 2 .* r .^ 2 - 102 * im * omega .* r + 318) + 682) + M .* r .^ 3 .* (m .^ 2 .* (-2 * im * omega .* r + x .^ 2 .* (2 * im * omega .* r + 33) - 25) + m .* x .* (-6 * im * omega .* r + x .^ 2 .* (6 * im * omega .* r - 87) + 55) + 43 * omega .^ 2 .* r .^ 2 - 194 * im * omega .* r + x .^ 4 .* (41 * omega .^ 2 .* r .^ 2 - 186 * im * omega .* r + 268) + x .^ 2 .* (-84 * omega .^ 2 .* r .^ 2 + 380 * im * omega .* r - 597) + 365) + r .^ 4 .* (m .^ 2 .* (im * omega .* r + x .^ 2 .* (-im * omega .* r - 6) + 4) + m .* x .* (im * omega .* r + x .^ 2 .* (-im * omega .* r + 16) - 8) - im * omega .^ 3 .* r .^ 3 - 12 * omega .^ 2 .* r .^ 2 + 23 * im * omega .* r + x .^ 4 .* (-im * omega .^ 3 .* r .^ 3 - 11 * omega .^ 2 .* r .^ 2 + 22 * im * omega .* r - 14) + x .^ 2 .* (2 * im * omega .^ 3 .* r .^ 3 + 23 * omega .^ 2 .* r .^ 2 - 45 * im * omega .* r + 39) - 34)) ./ (8 * r .^ 9 .* (1 - x .^ 2) .^ (3 // 2) .* (-2 * M + r) .^ 2)
12,-im * M .* pertparam .* (2 * m .^ 2 .* r .* x .* (2 * M - r) + m .* (18 * M .^ 2 .* (x .^ 2 - 1) + M .* r .* (4 * im * omega .* r + x .^ 2 .* (-4 * im * omega .* r - 29) + 13) + r .^ 2 .* (-5 * im * omega .* r + x .^ 2 .* (5 * im * omega .* r + 8))) + x .* (-142 * M .^ 2 .* (x .^ 2 - 1) + M .* r .* (6 * im * omega .* r + x .^ 2 .* (-6 * im * omega .* r + 157) - 139) + r .^ 2 .* (omega .^ 2 .* r .^ 2 + 5 * im * omega .* r - x .^ 2 .* (omega .^ 2 .* r .^ 2 + 5 * im * omega .* r + 43) + 34))) ./ (8 * r .^ 8 .* (2 * M - r) .* (x .^ 2 - 1))
