Index,Coefficient
00,32 * im * M .* m .* spina .* (m .^ 2 - 4) .* (48 * M .^ 3 + 16 * M .^ 2 .* r .* (-im * omega .* r - 6) + 4 * M .* r .^ 2 .* (-omega .^ 2 .* r .^ 2 + 6 * im * omega .* r + 17) + r .^ 3 .* (3 * omega .^ 2 .* r .^ 2 - 11 * im * omega .* r - 16)) ./ (r .^ 7 .* (1 - x .^ 2) .* (-2 * M + r) .^ 4)
01,-32 * im * M .* spina .* (48 * M .^ 3 + 16 * M .^ 2 .* r .* (-im * omega .* r - 6) + 4 * M .* r .^ 2 .* (-omega .^ 2 .* r .^ 2 + 6 * im * omega .* r + 17) + r .^ 3 .* (3 * omega .^ 2 .* r .^ 2 - 11 * im * omega .* r - 16)) .* (3 * m .^ 2 - 3 * m .* x + cos(2 * acos(x)) - 4) ./ (r .^ 7 .* sqrt(1 - x .^ 2) .* (-2 * M + r) .^ 4)
02,96 * im * M .* spina .* (m - x) .* (48 * M .^ 3 + 16 * M .^ 2 .* r .* (-im * omega .* r - 6) + 4 * M .* r .^ 2 .* (-omega .^ 2 .* r .^ 2 + 6 * im * omega .* r + 17) + r .^ 3 .* (3 * omega .^ 2 .* r .^ 2 - 11 * im * omega .* r - 16)) ./ (r .^ 7 .* (-2 * M + r) .^ 4)
03,-32 * im * M .* spina .* sqrt(1 - x .^ 2) .* (48 * M .^ 3 + 16 * M .^ 2 .* r .* (-im * omega .* r - 6) + 4 * M .* r .^ 2 .* (-omega .^ 2 .* r .^ 2 + 6 * im * omega .* r + 17) + r .^ 3 .* (3 * omega .^ 2 .* r .^ 2 - 11 * im * omega .* r - 16)) ./ (r .^ 7 .* (-2 * M + r) .^ 4)
04,0
05,0
06,0
10,32 * M .* m .* spina .* (m .^ 2 - 4) .* (-24 * im * M .^ 2 + 2 * M .* r .* (-4 * omega .* r + 15im) + r .^ 2 .* (6 * omega .* r - 11im)) ./ (r .^ 6 .* (1 - x .^ 2) .* (2 * M - r) .^ 3)
11,32 * M .* spina .* (24 * im * M .^ 2 + 2 * M .* r .* (4 * omega .* r - 15im) + r .^ 2 .* (-6 * omega .* r + 11im)) .* (3 * m .^ 2 - 3 * m .* x + cos(2 * acos(x)) - 4) ./ (r .^ 6 .* sqrt(1 - x .^ 2) .* (2 * M - r) .^ 3)
12,96 * M .* spina .* (-m + x) .* (24 * im * M .^ 2 + 2 * M .* r .* (4 * omega .* r - 15im) + r .^ 2 .* (-6 * omega .* r + 11im)) ./ (r .^ 6 .* (2 * M - r) .^ 3)
13,32 * M .* spina .* sqrt(1 - x .^ 2) .* (24 * im * M .^ 2 + 2 * M .* r .* (4 * omega .* r - 15im) + r .^ 2 .* (-6 * omega .* r + 11im)) ./ (r .^ 6 .* (2 * M - r) .^ 3)
14,0
15,0
16,0
20,32 * im * M .* m .* spina .* (4 * M - 3 * r) .* (m .^ 2 - 4) ./ (r .^ 5 .* (1 - x .^ 2) .* (-2 * M + r) .^ 2)
21,-32 * im * M .* spina .* (4 * M - 3 * r) .* (3 * m .^ 2 - 3 * m .* x + cos(2 * acos(x)) - 4) ./ (r .^ 5 .* sqrt(1 - x .^ 2) .* (-2 * M + r) .^ 2)
22,96 * im * M .* spina .* (4 * M - 3 * r) .* (m - x) ./ (r .^ 5 .* (-2 * M + r) .^ 2)
23,-32 * im * M .* spina .* sqrt(1 - x .^ 2) .* (4 * M - 3 * r) ./ (r .^ 5 .* (-2 * M + r) .^ 2)
24,0
25,0
26,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
