Index,Coefficient
00,im * M .* m .* pertparam .* (m .^ 2 - 4) .* (32 * M .^ 3 .* (x .^ 2 - 1) + 4 * M .^ 2 .* r .* (-2 * m .* x - 3 * im * omega .* r + 3 * im * x .^ 2 .* (omega .* r + 4im) + 20) + M .* r .^ 2 .* (m .^ 2 .* (2 * im * omega .* r - 2) + 2 * m .* x .* (-3 * im * omega .* r + 8) - 3 * omega .^ 2 .* r .^ 2 + im * omega .* r + 3 * x .^ 2 .* (omega .^ 2 .* r .^ 2 - 3 * im * omega .* r + 8) - 56) + r .^ 3 .* (m .^ 2 .* (-im * omega .* r + 1) + 3 * im * m .* x .* (omega .* r + 2im) - 2 * (omega .* r - 2im) .* (-omega .* r + x .^ 2 .* (omega .* r + im) - 3im))) ./ (8 * r .^ 9 .* (-2 * M + r) .^ 2 .* (x .^ 2 - 1) .^ 2)
01,im * M .* pertparam .* (32 * M .^ 3 .* (x .^ 2 - 1) .* (3 * m .^ 2 + 3 * m .* x + 2 * x .^ 2 - 5) + 4 * M .^ 2 .* r .* (-8 * m .^ 3 .* x + m .^ 2 .* (-9 * im * omega .* r + x .^ 2 .* (9 * im * omega .* r - 48) + 60) + m .* x .* (-9 * im * omega .* r + x .^ 2 .* (9 * im * omega .* r - 52) + 84) + 15 * im * omega .* r + 6 * im * x .^ 4 .* (omega .* r + 6im) + x .^ 2 .* (-21 * im * omega .* r + 118) - 100) + M .* r .^ 2 .* (m .^ 4 .* (8 * im * omega .* r - 8) + 4 * m .^ 3 .* x .* (-im * omega .* r + 11) + m .^ 2 .* (-9 * omega .^ 2 .* r .^ 2 - 21 * im * omega .* r + x .^ 2 .* (9 * omega .^ 2 .* r .^ 2 - 23 * im * omega .* r + 128) - 144) + m .* x .* (-9 * omega .^ 2 .* r .^ 2 + im * omega .* r + x .^ 2 .* (9 * omega .^ 2 .* r .^ 2 - 15 * im * omega .* r + 140) - 286) + 15 * omega .^ 2 .* r .^ 2 - 5 * im * omega .* r + 6 * x .^ 4 .* (omega .^ 2 .* r .^ 2 - im * omega .* r + 16) + x .^ 2 .* (-21 * omega .^ 2 .* r .^ 2 + 29 * im * omega .* r - 304) + 280) + r .^ 3 .* (m .^ 4 .* (-4 * im * omega .* r + 4) + 2 * im * m .^ 3 .* x .* (omega .* r + 7im) + m .^ 2 .* (6 * omega .^ 2 .* r .^ 2 + 18 * im * omega .* r + x .^ 2 .* (-6 * omega .^ 2 .* r .^ 2 + 4 * im * omega .* r - 28) + 24) + m .* x .* (6 * omega .^ 2 .* r .^ 2 + 7 * im * omega .* r - 6 * x .^ 2 .* (omega .^ 2 .* r .^ 2 + 5) + 71) - 10 * omega .^ 2 .* r .^ 2 - 10 * im * omega .* r - 2 * x .^ 4 .* (2 * omega .^ 2 .* r .^ 2 + im * omega .* r + 10) + x .^ 2 .* (14 * omega .^ 2 .* r .^ 2 + 3 * im * omega .* r + 62) - 60)) ./ (8 * r .^ 9 .* (1 - x .^ 2) .^ (3 // 2) .* (-2 * M + r) .^ 2)
02,M .* pertparam .* (6 * m .^ 3 .* r .^ 2 .* (2 * M - r) .* (omega .* r + im) + 6 * m .^ 2 .* r .* x .* (2 * M - r) .* (4 * im * M + r .* (omega .* r - 2im)) - im * m .* (96 * M .^ 3 .* (x .^ 2 - 1) + 12 * im * M .^ 2 .* r .* (x .^ 2 - 1) .* (3 * omega .* r + 20im) + M .* r .^ 2 .* (-9 * omega .^ 2 .* r .^ 2 - 13 * im * omega .* r + x .^ 2 .* (9 * omega .^ 2 .* r .^ 2 - 5 * im * omega .* r + 170) - 152) + r .^ 3 .* (6 * omega .^ 2 .* r .^ 2 + 14 * im * omega .* r - x .^ 2 .* (6 * omega .^ 2 .* r .^ 2 + 5 * im * omega .* r + 37) + 28)) - im * x .* (96 * M .^ 3 .* (x .^ 2 - 1) + 4 * M .^ 2 .* r .* (-9 * im * omega .* r + x .^ 2 .* (9 * im * omega .* r - 58) + 76) + M .* r .^ 2 .* (-9 * omega .^ 2 .* r .^ 2 - 13 * im * omega .* r + x .^ 2 .* (9 * omega .^ 2 .* r .^ 2 - 5 * im * omega .* r + 160) - 232) - r .^ 3 .* (omega .* r - 2im) .* (-6 * omega .* r + x .^ 2 .* (6 * omega .* r + 17im) - 26im))) ./ (8 * r .^ 9 .* (-2 * M + r) .^ 2 .* (x .^ 2 - 1))
03,im * M .* pertparam .* (32 * M .^ 3 .* (x .^ 2 - 1) + 4 * M .^ 2 .* r .* (-8 * m .* x - 3 * im * omega .* r + 3 * im * x .^ 2 .* (omega .* r + 8im) + 20) + M .* r .^ 2 .* (m .^ 2 .* (8 * im * omega .* r - 8) + 4 * m .* x .* (3 * im * omega .* r + 7) - 3 * omega .^ 2 .* r .^ 2 + im * omega .* r + 3 * x .^ 2 .* (omega .^ 2 .* r .^ 2 + im * omega .* r + 24) - 56) - 2 * r .^ 3 .* (m .^ 2 .* (2 * im * omega .* r - 2) + 3 * m .* (im * omega .* r .* x + x) + (omega .* r - 2im) .* (-omega .* r + x .^ 2 .* (omega .* r + 4im) - 3im))) ./ (8 * r .^ 9 .* sqrt(1 - x .^ 2) .* (-2 * M + r) .^ 2)
04,-im * M .* pertparam .* (4 * M .* x + m .* r .* (-im * omega .* r + 1) + r .* x .* (-im * omega .* r - 2)) ./ (8 * r .^ 8 .* (2 * M - r))
05,0
06,0
10,im * M .* m .* pertparam .* (m .^ 2 - 4) .* (-14 * M .^ 2 .* (x .^ 2 - 1) + M .* r .* (2 * m .* x + 13 * x .^ 2 - 21) + r .^ 2 .* (-m .* x - im * omega .* r + x .^ 2 .* (im * omega .* r - 3) + 7)) ./ (8 * r .^ 8 .* (2 * M - r) .* (x .^ 2 - 1) .^ 2)
11,im * M .* pertparam .* (-14 * M .^ 2 .* (x .^ 2 - 1) .* (3 * m .^ 2 + 3 * m .* x + 2 * x .^ 2 - 5) + M .* r .* (8 * m .^ 3 .* x + m .^ 2 .* (51 * x .^ 2 - 63) + m .* x .* (55 * x .^ 2 - 87) + 38 * x .^ 4 - 125 * x .^ 2 + 105) + r .^ 2 .* (-4 * m .^ 3 .* x + 3 * m .^ 2 .* (-im * omega .* r + x .^ 2 .* (im * omega .* r - 5) + 7) + m .* x .* (-3 * im * omega .* r + x .^ 2 .* (3 * im * omega .* r - 17) + 33) + 5 * im * omega .* r + 2 * im * x .^ 4 .* (omega .* r + 6im) + x .^ 2 .* (-7 * im * omega .* r + 38) - 35)) ./ (8 * r .^ 8 .* (1 - x .^ 2) .^ (3 // 2) .* (2 * M - r))
12,-im * M .* pertparam .* (6 * m .^ 2 .* r .* x .* (2 * M - r) - 3 * m .* (x .^ 2 - 1) .* (14 * M .^ 2 - 21 * M .* r + r .^ 2 .* (-im * omega .* r + 7)) + x .* (-42 * M .^ 2 .* (x .^ 2 - 1) + M .* r .* (61 * x .^ 2 - 79) + r .^ 2 .* (-3 * im * omega .* r + x .^ 2 .* (3 * im * omega .* r - 20) + 29))) ./ (8 * r .^ 8 .* (2 * M - r) .* (x .^ 2 - 1))
13,-im * M .* pertparam .* (14 * M .^ 2 .* (x .^ 2 - 1) + M .* r .* (-8 * m .* x - 25 * x .^ 2 + 21) + r .^ 2 .* (4 * m .* x + im * omega .* r + x .^ 2 .* (-im * omega .* r + 9) - 7)) ./ (8 * r .^ 8 .* sqrt(1 - x .^ 2) .* (2 * M - r))
14,im * M .* pertparam .* x ./ (8 * r .^ 7)
15,0
16,0
20,im * M .* m .* pertparam .* (3 * M - r) .* (m .^ 2 - 4) ./ (8 * r .^ 7 .* (x .^ 2 - 1))
21,-im * M .* pertparam .* (3 * M - r) .* (3 * m .^ 2 + 3 * m .* x + cos(2 * acos(x)) - 4) ./ (8 * r .^ 7 .* sqrt(1 - x .^ 2))
22,-3 // 8 * im * M .* pertparam .* (3 * M - r) .* (m + x) ./ r .^ 7
23,-im * M .* pertparam .* sqrt(1 - x .^ 2) .* (3 * M - r) ./ (8 * r .^ 7)
24,0
25,0
26,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
