Index,Coefficient
00,-32 * im * M .* spina .* (5760 * M .^ 5 .* m + 5760 * M .^ 5 .* cos(3 * acos(x)) - 352 * M .^ 4 .* m .^ 3 .* r + 1440 * im * M .^ 4 .* m .* r .^ 2 .* conj(omega) - 14976 * M .^ 4 .* m .* r + 1440 * im * M .^ 4 .* r .^ 2 .* cos(3 * acos(x)) .* conj(omega) - 14400 * M .^ 4 .* r .* cos(3 * acos(x)) - 80 * im * M .^ 3 .* m .^ 3 .* r .^ 3 .* conj(omega) + 816 * M .^ 3 .* m .^ 3 .* r .^ 2 - 152 * M .^ 3 .* m .* r .^ 4 .* conj(omega) .^ 2 - 3232 * im * M .^ 3 .* m .* r .^ 3 .* conj(omega) + 15840 * M .^ 3 .* m .* r .^ 2 - 168 * M .^ 3 .* r .^ 4 .* cos(3 * acos(x)) .* conj(omega) .^ 2 - 3120 * im * M .^ 3 .* r .^ 3 .* cos(3 * acos(x)) .* conj(omega) + 14400 * M .^ 3 .* r .^ 2 .* cos(3 * acos(x)) + 8 * M .^ 2 .* m .^ 3 .* r .^ 5 .* conj(omega) .^ 2 + 168 * im * M .^ 2 .* m .^ 3 .* r .^ 4 .* conj(omega) - 712 * M .^ 2 .* m .^ 3 .* r .^ 3 - 8 * im * M .^ 2 .* m .* r .^ 6 .* conj(omega) .^ 3 + 236 * M .^ 2 .* m .* r .^ 5 .* conj(omega) .^ 2 + 2840 * im * M .^ 2 .* m .* r .^ 4 .* conj(omega) - 8528 * M .^ 2 .* m .* r .^ 3 + 300 * M .^ 2 .* r .^ 5 .* cos(3 * acos(x)) .* conj(omega) .^ 2 + 2592 * im * M .^ 2 .* r .^ 4 .* cos(3 * acos(x)) .* conj(omega) - 7200 * M .^ 2 .* r .^ 3 .* cos(3 * acos(x)) + 4 * im * M .* m .^ 3 .* r .^ 7 .* conj(omega) .^ 3 - 26 * M .* m .^ 3 .* r .^ 6 .* conj(omega) .^ 2 - 126 * im * M .* m .^ 3 .* r .^ 5 .* conj(omega) + 276 * M .* m .^ 3 .* r .^ 4 - 8 * M .* m .* r .^ 8 .* conj(omega) .^ 4 + 14 * im * M .* m .* r .^ 7 .* conj(omega) .^ 3 - 220 * M .* m .* r .^ 6 .* conj(omega) .^ 2 - 1216 * im * M .* m .* r .^ 5 .* conj(omega) + 2336 * M .* m .* r .^ 4 + 6 * M .* r .^ 8 .* cos(3 * acos(x)) .* conj(omega) .^ 4 + 36 * im * M .* r .^ 7 .* cos(3 * acos(x)) .* conj(omega) .^ 3 - 240 * M .* r .^ 6 .* cos(3 * acos(x)) .* conj(omega) .^ 2 - 1008 * im * M .* r .^ 5 .* cos(3 * acos(x)) .* conj(omega) + 1800 * M .* r .^ 4 .* cos(3 * acos(x)) - 2 * im * m .^ 3 .* r .^ 8 .* conj(omega) .^ 3 + 11 * m .^ 3 .* r .^ 7 .* conj(omega) .^ 2 + 31 * im * m .^ 3 .* r .^ 6 .* conj(omega) - 40 * m .^ 3 .* r .^ 5 + im * m .* r .^ 10 .* conj(omega) .^ 5 - 4 * m .* r .^ 9 .* conj(omega) .^ 4 - 24 * im * m .* r .^ 8 .* conj(omega) .^ 3 + 82 * m .* r .^ 7 .* conj(omega) .^ 2 + 212 * im * m .* r .^ 6 .* conj(omega) - 260 * m .* r .^ 5 - m .* (5760 * M .^ 5 - 160 * im * M .^ 4 .* r .* (-9 * r .* conj(omega) - 88im) - 8 * M .^ 3 .* r .^ 2 .* (19 * r .^ 2 .* conj(omega) .^ 2 + 380 * im * r .* conj(omega) - 1700) + 4 * M .^ 2 .* r .^ 3 .* (-2 * im * r .^ 3 .* conj(omega) .^ 3 + 67 * r .^ 2 .* conj(omega) .^ 2 + 606 * im * r .* conj(omega) - 1612) + 2 * M .* r .^ 4 .* (-4 * r .^ 4 .* conj(omega) .^ 4 - im * r .^ 3 .* conj(omega) .^ 3 - 90 * r .^ 2 .* conj(omega) .^ 2 - 436 * im * r .* conj(omega) + 744) + r .^ 5 .* (im * r .^ 5 .* conj(omega) .^ 5 - 4 * r .^ 4 .* conj(omega) .^ 4 - 16 * im * r .^ 3 .* conj(omega) .^ 3 + 54 * r .^ 2 .* conj(omega) .^ 2 + 120 * im * r .* conj(omega) - 132)) .* cos(2 * acos(x)) - 3 * r .^ 9 .* cos(3 * acos(x)) .* conj(omega) .^ 4 - 18 * im * r .^ 8 .* cos(3 * acos(x)) .* conj(omega) .^ 3 + 66 * r .^ 7 .* cos(3 * acos(x)) .* conj(omega) .^ 2 + 156 * im * r .^ 6 .* cos(3 * acos(x)) .* conj(omega) - 180 * r .^ 5 .* cos(3 * acos(x)) - x .* (2 * M - r) .* (2880 * M .^ 4 - 16 * M .^ 3 .* r .* (40 * m .^ 2 - 45 * im * r .* conj(omega) + 344) + 4 * M .^ 2 .* r .^ 2 .* (4 * m .^ 2 .* (-9 * im * r .* conj(omega) + 74) - 21 * r .^ 2 .* conj(omega) .^ 2 - 284 * im * r .* conj(omega) + 984) + 4 * M .* r .^ 3 .* (2 * m .^ 2 .* (r .^ 2 .* conj(omega) .^ 2 + 29 * im * r .* conj(omega) - 92) + 19 * r .^ 2 .* conj(omega) .^ 2 + 150 * im * r .* conj(omega) - 312) + r .^ 4 .* (4 * m .^ 2 .* (2 * im * r .^ 3 .* conj(omega) .^ 3 - 10 * r .^ 2 .* conj(omega) .^ 2 - 29 * im * r .* conj(omega) + 38) + 3 * r .^ 4 .* conj(omega) .^ 4 + 18 * im * r .^ 3 .* conj(omega) .^ 3 - 50 * r .^ 2 .* conj(omega) .^ 2 - 124 * im * r .* conj(omega) + 148))) ./ (r .^ 8 .* (1 - x .^ 2) .* (2 * M - r) .^ 5)
01,-32 * im * M .* spina .* (-5760 * M .^ 5 + 160 * M .^ 4 .* m .^ 2 .* r - 1440 * im * M .^ 4 .* r .^ 2 .* conj(omega) + 15040 * M .^ 4 .* r + 32 * im * M .^ 3 .* m .^ 2 .* r .^ 3 .* conj(omega) - 368 * M .^ 3 .* m .^ 2 .* r .^ 2 + 152 * M .^ 3 .* r .^ 4 .* conj(omega) .^ 2 + 3264 * im * M .^ 3 .* r .^ 3 .* conj(omega) - 15872 * M .^ 3 .* r .^ 2 - 8 * M .^ 2 .* m .^ 2 .* r .^ 5 .* conj(omega) .^ 2 - 64 * im * M .^ 2 .* m .^ 2 .* r .^ 4 .* conj(omega) + 328 * M .^ 2 .* m .^ 2 .* r .^ 3 - 292 * M .^ 2 .* r .^ 5 .* conj(omega) .^ 2 - 2880 * im * M .^ 2 .* r .^ 4 .* conj(omega) + 8512 * M .^ 2 .* r .^ 3 + 10 * M .* m .^ 2 .* r .^ 6 .* conj(omega) .^ 2 + 46 * im * M .* m .^ 2 .* r .^ 5 .* conj(omega) - 132 * M .* m .^ 2 .* r .^ 4 + 4 * M .* r .^ 8 .* conj(omega) .^ 4 - 6 * im * M .* r .^ 7 .* conj(omega) .^ 3 + 248 * M .* r .^ 6 .* conj(omega) .^ 2 + 1216 * im * M .* r .^ 5 .* conj(omega) - 2328 * M .* r .^ 4 - 3 * m .^ 2 .* r .^ 7 .* conj(omega) .^ 2 - 11 * im * m .^ 2 .* r .^ 6 .* conj(omega) + 20 * m .^ 2 .* r .^ 5 - m .* r .* x .* (2 * M - r) .* (144 * M .^ 3 + 8 * M .^ 2 .* r .* (3 * im * r .* conj(omega) - 32) - 4 * M .* r .^ 2 .* (3 * r .^ 2 .* conj(omega) .^ 2 + 8 * im * r .* conj(omega) - 43) + r .^ 3 .* (2 * im * r .^ 3 .* conj(omega) .^ 3 + r .^ 2 .* conj(omega) .^ 2 + 13 * im * r .* conj(omega) - 40)) - im * r .^ 10 .* conj(omega) .^ 5 + 6 * r .^ 9 .* conj(omega) .^ 4 + 22 * im * r .^ 8 .* conj(omega) .^ 3 - 82 * r .^ 7 .* conj(omega) .^ 2 - 206 * im * r .^ 6 .* conj(omega) + 260 * r .^ 5 + (5760 * M .^ 5 - 32 * im * M .^ 4 .* r .* (-45 * r .* conj(omega) - 451im) - 8 * M .^ 3 .* r .^ 2 .* (19 * r .^ 2 .* conj(omega) .^ 2 + 392 * im * r .* conj(omega) - 1814) + 4 * M .^ 2 .* r .^ 3 .* (63 * r .^ 2 .* conj(omega) .^ 2 + 656 * im * r .* conj(omega) - 1834) - 2 * M .* r .^ 4 .* (2 * r .^ 4 .* conj(omega) .^ 4 - 3 * im * r .^ 3 .* conj(omega) .^ 3 + 101 * r .^ 2 .* conj(omega) .^ 2 + 519 * im * r .* conj(omega) - 934) + r .^ 5 .* (im * r .^ 5 .* conj(omega) .^ 5 - 6 * r .^ 4 .* conj(omega) .^ 4 - 22 * im * r .^ 3 .* conj(omega) .^ 3 + 69 * r .^ 2 .* conj(omega) .^ 2 + 165 * im * r .* conj(omega) - 192)) .* cos(2 * acos(x))) ./ (r .^ 8 .* sqrt(1 - x .^ 2) .* (2 * M - r) .^ 5)
02,32 * im * M .* spina .* (-m .* (176 * M .^ 3 - 40 * im * M .^ 2 .* r .* (-r .* conj(omega) - 8im) + 4 * M .* r .^ 2 .* (-r .^ 2 .* conj(omega) .^ 2 - 16 * im * r .* conj(omega) + 49) + r .^ 3 .* (-2 * im * r .^ 3 .* conj(omega) .^ 3 + 11 * r .^ 2 .* conj(omega) .^ 2 + 31 * im * r .* conj(omega) - 40)) + x .* (176 * M .^ 3 + 16 * M .^ 2 .* r .* (2 * im * r .* conj(omega) - 21) + 4 * M .* r .^ 2 .* (-r .^ 2 .* conj(omega) .^ 2 - 12 * im * r .* conj(omega) + 57) + r .^ 3 .* (5 * r .^ 2 .* conj(omega) .^ 2 + 25 * im * r .* conj(omega) - 52))) ./ (r .^ 7 .* (-2 * M + r) .^ 4)
03,32 * im * M .* spina .* sqrt(1 - x .^ 2) .* (80 * M .^ 3 - 16 * im * M .^ 2 .* r .* (-r .* conj(omega) - 9im) + 4 * M .* r .^ 2 .* (-r .^ 2 .* conj(omega) .^ 2 - 6 * im * r .* conj(omega) + 23) + r .^ 3 .* (3 * r .^ 2 .* conj(omega) .^ 2 + 11 * im * r .* conj(omega) - 20)) ./ (r .^ 7 .* (-2 * M + r) .^ 4)
04,0
05,0
06,0
10,32 * im * M .* spina .* (2496 * M .^ 4 .* m + 2496 * M .^ 4 .* cos(3 * acos(x)) - 144 * M .^ 3 .* m .^ 3 .* r + 576 * im * M .^ 3 .* m .* r .^ 2 .* conj(omega) - 5168 * M .^ 3 .* m .* r + 624 * im * M .^ 3 .* r .^ 2 .* cos(3 * acos(x)) .* conj(omega) - 4992 * M .^ 3 .* r .* cos(3 * acos(x)) - 40 * im * M .^ 2 .* m .^ 3 .* r .^ 3 .* conj(omega) + 260 * M .^ 2 .* m .^ 3 .* r .^ 2 - 52 * M .^ 2 .* m .* r .^ 4 .* conj(omega) .^ 2 - 996 * im * M .^ 2 .* m .* r .^ 3 .* conj(omega) + 4128 * M .^ 2 .* m .* r .^ 2 - 72 * M .^ 2 .* r .^ 4 .* cos(3 * acos(x)) .* conj(omega) .^ 2 - 1056 * im * M .^ 2 .* r .^ 3 .* cos(3 * acos(x)) .* conj(omega) + 3744 * M .^ 2 .* r .^ 2 .* cos(3 * acos(x)) + 12 * M .* m .^ 3 .* r .^ 5 .* conj(omega) .^ 2 + 64 * im * M .* m .^ 3 .* r .^ 4 .* conj(omega) - 156 * M .* m .^ 3 .* r .^ 3 + 6 * im * M .* m .* r .^ 6 .* conj(omega) .^ 3 + 132 * M .* m .* r .^ 5 .* conj(omega) .^ 2 + 682 * im * M .* m .* r .^ 4 .* conj(omega) - 1508 * M .* m .* r .^ 3 - 24 * im * M .* r .^ 6 .* cos(3 * acos(x)) .* conj(omega) .^ 3 + 144 * M .* r .^ 5 .* cos(3 * acos(x)) .* conj(omega) .^ 2 + 636 * im * M .* r .^ 4 .* cos(3 * acos(x)) .* conj(omega) - 1248 * M .* r .^ 3 .* cos(3 * acos(x)) - 6 * m .^ 3 .* r .^ 6 .* conj(omega) .^ 2 - 22 * im * m .^ 3 .* r .^ 5 .* conj(omega) + 31 * m .^ 3 .* r .^ 4 + 4 * m .* r .^ 8 .* conj(omega) .^ 4 + 15 * im * m .* r .^ 7 .* conj(omega) .^ 3 - 71 * m .* r .^ 6 .* conj(omega) .^ 2 - 164 * im * m .* r .^ 5 .* conj(omega) + 212 * m .* r .^ 4 - m .* (2496 * M .^ 4 + 48 * M .^ 3 .* r .* (12 * im * r .* conj(omega) - 101) + 4 * M .^ 2 .* r .^ 2 .* (-13 * r .^ 2 .* conj(omega) .^ 2 - 241 * im * r .* conj(omega) + 868) + 2 * M .* r .^ 3 .* (3 * im * r .^ 3 .* conj(omega) .^ 3 + 42 * r .^ 2 .* conj(omega) .^ 2 + 277 * im * r .* conj(omega) - 538) + r .^ 4 .* (4 * r .^ 4 .* conj(omega) .^ 4 + 15 * im * r .^ 3 .* conj(omega) .^ 3 - 47 * r .^ 2 .* conj(omega) .^ 2 - 108 * im * r .* conj(omega) + 120)) .* cos(2 * acos(x)) + 12 * im * r .^ 7 .* cos(3 * acos(x)) .* conj(omega) .^ 3 - 54 * r .^ 6 .* cos(3 * acos(x)) .* conj(omega) .^ 2 - 132 * im * r .^ 5 .* cos(3 * acos(x)) .* conj(omega) + 156 * r .^ 4 .* cos(3 * acos(x)) - 2 * x .* (2 * M - r) .* (624 * M .^ 3 - 4 * M .^ 2 .* r .* (32 * m .^ 2 - 39 * im * r .* conj(omega) + 218) + 2 * M .* r .^ 2 .* (2 * m .^ 2 .* (-8 * im * r .* conj(omega) + 43) - 9 * r .^ 2 .* conj(omega) .^ 2 - 77 * im * r .* conj(omega) + 202) + r .^ 3 .* (2 * m .^ 2 .* (6 * r .^ 2 .* conj(omega) .^ 2 + 20 * im * r .* conj(omega) - 29) - 6 * im * r .^ 3 .* conj(omega) .^ 3 + 27 * r .^ 2 .* conj(omega) .^ 2 + 50 * im * r .* conj(omega) - 62))) ./ (r .^ 7 .* (1 - x .^ 2) .* (-2 * M + r) .^ 4)
11,32 * im * M .* spina .* (-2496 * M .^ 4 + 48 * M .^ 3 .* m .^ 2 .* r - 608 * im * M .^ 3 .* r .^ 2 .* conj(omega) + 5232 * M .^ 3 .* r + 16 * im * M .^ 2 .* m .^ 2 .* r .^ 3 .* conj(omega) - 84 * M .^ 2 .* m .^ 2 .* r .^ 2 + 60 * M .^ 2 .* r .^ 4 .* conj(omega) .^ 2 + 1108 * im * M .^ 2 .* r .^ 3 .* conj(omega) - 4152 * M .^ 2 .* r .^ 2 - 20 * im * M .* m .^ 2 .* r .^ 4 .* conj(omega) + 52 * M .* m .^ 2 .* r .^ 3 + 6 * im * M .* r .^ 6 .* conj(omega) .^ 3 - 120 * M .* r .^ 5 .* conj(omega) .^ 2 - 730 * im * M .* r .^ 4 .* conj(omega) + 1492 * M .* r .^ 3 + 6 * im * m .^ 2 .* r .^ 5 .* conj(omega) - 11 * m .^ 2 .* r .^ 4 - m .* r .* x .* (2 * M - r) .* (24 * M .^ 2 + 2 * M .* r .* (6 * im * r .* conj(omega) - 13) + r .^ 2 .* (6 * r .^ 2 .* conj(omega) .^ 2 - 2 * im * r .* conj(omega) + 13)) - 4 * r .^ 8 .* conj(omega) .^ 4 - 21 * im * r .^ 7 .* conj(omega) .^ 3 + 63 * r .^ 6 .* conj(omega) .^ 2 + 164 * im * r .^ 5 .* conj(omega) - 206 * r .^ 4 + (2496 * M .^ 4 + 32 * M .^ 3 .* r .* (19 * im * r .* conj(omega) - 157) + 4 * M .^ 2 .* r .^ 2 .* (-15 * r .^ 2 .* conj(omega) .^ 2 - 257 * im * r .* conj(omega) + 951) + 2 * M .* r .^ 3 .* (-3 * im * r .^ 3 .* conj(omega) .^ 3 + 60 * r .^ 2 .* conj(omega) .^ 2 + 319 * im * r .* conj(omega) - 644) + r .^ 4 .* (4 * r .^ 4 .* conj(omega) .^ 4 + 21 * im * r .^ 3 .* conj(omega) .^ 3 - 63 * r .^ 2 .* conj(omega) .^ 2 - 138 * im * r .* conj(omega) + 165)) .* cos(2 * acos(x))) ./ (r .^ 7 .* sqrt(1 - x .^ 2) .* (-2 * M + r) .^ 4)
12,-32 * im * M .* spina .* (-m .* (72 * M .^ 2 + 2 * M .* r .* (10 * im * r .* conj(omega) - 47) + r .^ 2 .* (-6 * r .^ 2 .* conj(omega) .^ 2 - 22 * im * r .* conj(omega) + 31)) + x .* (40 * M .^ 2 + 2 * M .* r .* (4 * im * r .* conj(omega) - 29) + 5 * r .^ 2 .* (-2 * im * r .* conj(omega) + 5))) ./ (r .^ 6 .* (2 * M - r) .^ 3)
