Index,Coefficient
00,-32 * im * M .* spina .* (-5760 * M .^ 5 .* m + 5760 * M .^ 5 .* cos(3 * acos(x)) + 352 * M .^ 4 .* m .^ 3 .* r + 1440 * im * M .^ 4 .* m .* omega .* r .^ 2 + 14976 * M .^ 4 .* m .* r - 1440 * im * M .^ 4 .* omega .* r .^ 2 .* cos(3 * acos(x)) - 14400 * M .^ 4 .* r .* cos(3 * acos(x)) - 80 * im * M .^ 3 .* m .^ 3 .* omega .* r .^ 3 - 816 * M .^ 3 .* m .^ 3 .* r .^ 2 + 152 * M .^ 3 .* m .* omega .^ 2 .* r .^ 4 - 3232 * im * M .^ 3 .* m .* omega .* r .^ 3 - 15840 * M .^ 3 .* m .* r .^ 2 - 168 * M .^ 3 .* omega .^ 2 .* r .^ 4 .* cos(3 * acos(x)) + 3120 * im * M .^ 3 .* omega .* r .^ 3 .* cos(3 * acos(x)) + 14400 * M .^ 3 .* r .^ 2 .* cos(3 * acos(x)) - 8 * M .^ 2 .* m .^ 3 .* omega .^ 2 .* r .^ 5 + 168 * im * M .^ 2 .* m .^ 3 .* omega .* r .^ 4 + 712 * M .^ 2 .* m .^ 3 .* r .^ 3 - 8 * im * M .^ 2 .* m .* omega .^ 3 .* r .^ 6 - 236 * M .^ 2 .* m .* omega .^ 2 .* r .^ 5 + 2840 * im * M .^ 2 .* m .* omega .* r .^ 4 + 8528 * M .^ 2 .* m .* r .^ 3 + 300 * M .^ 2 .* omega .^ 2 .* r .^ 5 .* cos(3 * acos(x)) - 2592 * im * M .^ 2 .* omega .* r .^ 4 .* cos(3 * acos(x)) - 7200 * M .^ 2 .* r .^ 3 .* cos(3 * acos(x)) + 4 * im * M .* m .^ 3 .* omega .^ 3 .* r .^ 7 + 26 * M .* m .^ 3 .* omega .^ 2 .* r .^ 6 - 126 * im * M .* m .^ 3 .* omega .* r .^ 5 - 276 * M .* m .^ 3 .* r .^ 4 + 8 * M .* m .* omega .^ 4 .* r .^ 8 + 14 * im * M .* m .* omega .^ 3 .* r .^ 7 + 220 * M .* m .* omega .^ 2 .* r .^ 6 - 1216 * im * M .* m .* omega .* r .^ 5 - 2336 * M .* m .* r .^ 4 + 6 * M .* omega .^ 4 .* r .^ 8 .* cos(3 * acos(x)) - 36 * im * M .* omega .^ 3 .* r .^ 7 .* cos(3 * acos(x)) - 240 * M .* omega .^ 2 .* r .^ 6 .* cos(3 * acos(x)) + 1008 * im * M .* omega .* r .^ 5 .* cos(3 * acos(x)) + 1800 * M .* r .^ 4 .* cos(3 * acos(x)) - 2 * im * m .^ 3 .* omega .^ 3 .* r .^ 8 - 11 * m .^ 3 .* omega .^ 2 .* r .^ 7 + 31 * im * m .^ 3 .* omega .* r .^ 6 + 40 * m .^ 3 .* r .^ 5 + im * m .* omega .^ 5 .* r .^ 10 + 4 * m .* omega .^ 4 .* r .^ 9 - 24 * im * m .* omega .^ 3 .* r .^ 8 - 82 * m .* omega .^ 2 .* r .^ 7 + 212 * im * m .* omega .* r .^ 6 + 260 * m .* r .^ 5 + m .* (5760 * M .^ 5 - 160 * im * M .^ 4 .* r .* (9 * omega .* r - 88im) - 8 * M .^ 3 .* r .^ 2 .* (19 * omega .^ 2 .* r .^ 2 - 380 * im * omega .* r - 1700) + 4 * M .^ 2 .* r .^ 3 .* (2 * im * omega .^ 3 .* r .^ 3 + 67 * omega .^ 2 .* r .^ 2 - 606 * im * omega .* r - 1612) + 2 * M .* r .^ 4 .* (-4 * omega .^ 4 .* r .^ 4 + im * omega .^ 3 .* r .^ 3 - 90 * omega .^ 2 .* r .^ 2 + 436 * im * omega .* r + 744) + r .^ 5 .* (-im * omega .^ 5 .* r .^ 5 - 4 * omega .^ 4 .* r .^ 4 + 16 * im * omega .^ 3 .* r .^ 3 + 54 * omega .^ 2 .* r .^ 2 - 120 * im * omega .* r - 132)) .* cos(2 * acos(x)) - 3 * omega .^ 4 .* r .^ 9 .* cos(3 * acos(x)) + 18 * im * omega .^ 3 .* r .^ 8 .* cos(3 * acos(x)) + 66 * omega .^ 2 .* r .^ 7 .* cos(3 * acos(x)) - 156 * im * omega .* r .^ 6 .* cos(3 * acos(x)) - 180 * r .^ 5 .* cos(3 * acos(x)) - x .* (2 * M - r) .* (2880 * M .^ 4 - 16 * M .^ 3 .* r .* (40 * m .^ 2 + 45 * im * omega .* r + 344) + 4 * M .^ 2 .* r .^ 2 .* (4 * m .^ 2 .* (9 * im * omega .* r + 74) - 21 * omega .^ 2 .* r .^ 2 + 284 * im * omega .* r + 984) + 4 * M .* r .^ 3 .* (2 * m .^ 2 .* (omega .^ 2 .* r .^ 2 - 29 * im * omega .* r - 92) + 19 * omega .^ 2 .* r .^ 2 - 150 * im * omega .* r - 312) + r .^ 4 .* (4 * m .^ 2 .* (-2 * im * omega .^ 3 .* r .^ 3 - 10 * omega .^ 2 .* r .^ 2 + 29 * im * omega .* r + 38) + 3 * omega .^ 4 .* r .^ 4 - 18 * im * omega .^ 3 .* r .^ 3 - 50 * omega .^ 2 .* r .^ 2 + 124 * im * omega .* r + 148))) ./ (r .^ 8 .* (1 - x .^ 2) .* (2 * M - r) .^ 5)
01,-32 * im * M .* spina .* (-5760 * M .^ 5 + 160 * M .^ 4 .* m .^ 2 .* r + 1440 * im * M .^ 4 .* omega .* r .^ 2 + 15040 * M .^ 4 .* r - 32 * im * M .^ 3 .* m .^ 2 .* omega .* r .^ 3 - 368 * M .^ 3 .* m .^ 2 .* r .^ 2 + 152 * M .^ 3 .* omega .^ 2 .* r .^ 4 - 3264 * im * M .^ 3 .* omega .* r .^ 3 - 15872 * M .^ 3 .* r .^ 2 - 8 * M .^ 2 .* m .^ 2 .* omega .^ 2 .* r .^ 5 + 64 * im * M .^ 2 .* m .^ 2 .* omega .* r .^ 4 + 328 * M .^ 2 .* m .^ 2 .* r .^ 3 - 292 * M .^ 2 .* omega .^ 2 .* r .^ 5 + 2880 * im * M .^ 2 .* omega .* r .^ 4 + 8512 * M .^ 2 .* r .^ 3 + 10 * M .* m .^ 2 .* omega .^ 2 .* r .^ 6 - 46 * im * M .* m .^ 2 .* omega .* r .^ 5 - 132 * M .* m .^ 2 .* r .^ 4 + 4 * M .* omega .^ 4 .* r .^ 8 + 6 * im * M .* omega .^ 3 .* r .^ 7 + 248 * M .* omega .^ 2 .* r .^ 6 - 1216 * im * M .* omega .* r .^ 5 - 2328 * M .* r .^ 4 - 3 * m .^ 2 .* omega .^ 2 .* r .^ 7 + 11 * im * m .^ 2 .* omega .* r .^ 6 + 20 * m .^ 2 .* r .^ 5 + m .* r .* x .* (2 * M - r) .* (144 * M .^ 3 + 8 * M .^ 2 .* r .* (-3 * im * omega .* r - 32) - 4 * M .* r .^ 2 .* (3 * omega .^ 2 .* r .^ 2 - 8 * im * omega .* r - 43) + r .^ 3 .* (-2 * im * omega .^ 3 .* r .^ 3 + omega .^ 2 .* r .^ 2 - 13 * im * omega .* r - 40)) + im * omega .^ 5 .* r .^ 10 + 6 * omega .^ 4 .* r .^ 9 - 22 * im * omega .^ 3 .* r .^ 8 - 82 * omega .^ 2 .* r .^ 7 + 206 * im * omega .* r .^ 6 + 260 * r .^ 5 + (5760 * M .^ 5 - 32 * im * M .^ 4 .* r .* (45 * omega .* r - 451im) - 8 * M .^ 3 .* r .^ 2 .* (19 * omega .^ 2 .* r .^ 2 - 392 * im * omega .* r - 1814) + 4 * M .^ 2 .* r .^ 3 .* (63 * omega .^ 2 .* r .^ 2 - 656 * im * omega .* r - 1834) - 2 * M .* r .^ 4 .* (2 * omega .^ 4 .* r .^ 4 + 3 * im * omega .^ 3 .* r .^ 3 + 101 * omega .^ 2 .* r .^ 2 - 519 * im * omega .* r - 934) + r .^ 5 .* (-im * omega .^ 5 .* r .^ 5 - 6 * omega .^ 4 .* r .^ 4 + 22 * im * omega .^ 3 .* r .^ 3 + 69 * omega .^ 2 .* r .^ 2 - 165 * im * omega .* r - 192)) .* cos(2 * acos(x))) ./ (r .^ 8 .* sqrt(1 - x .^ 2) .* (2 * M - r) .^ 5)
02,32 * im * M .* spina .* (m .* (176 * M .^ 3 - 40 * im * M .^ 2 .* r .* (omega .* r - 8im) + 4 * M .* r .^ 2 .* (-omega .^ 2 .* r .^ 2 + 16 * im * omega .* r + 49) + r .^ 3 .* (2 * im * omega .^ 3 .* r .^ 3 + 11 * omega .^ 2 .* r .^ 2 - 31 * im * omega .* r - 40)) + x .* (176 * M .^ 3 + 16 * M .^ 2 .* r .* (-2 * im * omega .* r - 21) + 4 * M .* r .^ 2 .* (-omega .^ 2 .* r .^ 2 + 12 * im * omega .* r + 57) + r .^ 3 .* (5 * omega .^ 2 .* r .^ 2 - 25 * im * omega .* r - 52))) ./ (r .^ 7 .* (-2 * M + r) .^ 4)
03,32 * im * M .* spina .* sqrt(1 - x .^ 2) .* (80 * M .^ 3 - 16 * im * M .^ 2 .* r .* (omega .* r - 9im) + 4 * M .* r .^ 2 .* (-omega .^ 2 .* r .^ 2 + 6 * im * omega .* r + 23) + r .^ 3 .* (3 * omega .^ 2 .* r .^ 2 - 11 * im * omega .* r - 20)) ./ (r .^ 7 .* (-2 * M + r) .^ 4)
04,0
05,0
06,0
10,32 * im * M .* spina .* (-2496 * M .^ 4 .* m + 2496 * M .^ 4 .* cos(3 * acos(x)) + 144 * M .^ 3 .* m .^ 3 .* r + 576 * im * M .^ 3 .* m .* omega .* r .^ 2 + 5168 * M .^ 3 .* m .* r - 624 * im * M .^ 3 .* omega .* r .^ 2 .* cos(3 * acos(x)) - 4992 * M .^ 3 .* r .* cos(3 * acos(x)) - 40 * im * M .^ 2 .* m .^ 3 .* omega .* r .^ 3 - 260 * M .^ 2 .* m .^ 3 .* r .^ 2 + 52 * M .^ 2 .* m .* omega .^ 2 .* r .^ 4 - 996 * im * M .^ 2 .* m .* omega .* r .^ 3 - 4128 * M .^ 2 .* m .* r .^ 2 - 72 * M .^ 2 .* omega .^ 2 .* r .^ 4 .* cos(3 * acos(x)) + 1056 * im * M .^ 2 .* omega .* r .^ 3 .* cos(3 * acos(x)) + 3744 * M .^ 2 .* r .^ 2 .* cos(3 * acos(x)) - 12 * M .* m .^ 3 .* omega .^ 2 .* r .^ 5 + 64 * im * M .* m .^ 3 .* omega .* r .^ 4 + 156 * M .* m .^ 3 .* r .^ 3 + 6 * im * M .* m .* omega .^ 3 .* r .^ 6 - 132 * M .* m .* omega .^ 2 .* r .^ 5 + 682 * im * M .* m .* omega .* r .^ 4 + 1508 * M .* m .* r .^ 3 + 24 * im * M .* omega .^ 3 .* r .^ 6 .* cos(3 * acos(x)) + 144 * M .* omega .^ 2 .* r .^ 5 .* cos(3 * acos(x)) - 636 * im * M .* omega .* r .^ 4 .* cos(3 * acos(x)) - 1248 * M .* r .^ 3 .* cos(3 * acos(x)) + 6 * m .^ 3 .* omega .^ 2 .* r .^ 6 - 22 * im * m .^ 3 .* omega .* r .^ 5 - 31 * m .^ 3 .* r .^ 4 - 4 * m .* omega .^ 4 .* r .^ 8 + 15 * im * m .* omega .^ 3 .* r .^ 7 + 71 * m .* omega .^ 2 .* r .^ 6 - 164 * im * m .* omega .* r .^ 5 - 212 * m .* r .^ 4 + m .* (2496 * M .^ 4 + 48 * M .^ 3 .* r .* (-12 * im * omega .* r - 101) + 4 * M .^ 2 .* r .^ 2 .* (-13 * omega .^ 2 .* r .^ 2 + 241 * im * omega .* r + 868) + 2 * M .* r .^ 3 .* (-3 * im * omega .^ 3 .* r .^ 3 + 42 * omega .^ 2 .* r .^ 2 - 277 * im * omega .* r - 538) + r .^ 4 .* (4 * omega .^ 4 .* r .^ 4 - 15 * im * omega .^ 3 .* r .^ 3 - 47 * omega .^ 2 .* r .^ 2 + 108 * im * omega .* r + 120)) .* cos(2 * acos(x)) - 12 * im * omega .^ 3 .* r .^ 7 .* cos(3 * acos(x)) - 54 * omega .^ 2 .* r .^ 6 .* cos(3 * acos(x)) + 132 * im * omega .* r .^ 5 .* cos(3 * acos(x)) + 156 * r .^ 4 .* cos(3 * acos(x)) - 2 * x .* (2 * M - r) .* (624 * M .^ 3 - 4 * M .^ 2 .* r .* (32 * m .^ 2 + 39 * im * omega .* r + 218) + 2 * M .* r .^ 2 .* (2 * m .^ 2 .* (8 * im * omega .* r + 43) - 9 * omega .^ 2 .* r .^ 2 + 77 * im * omega .* r + 202) + r .^ 3 .* (2 * m .^ 2 .* (6 * omega .^ 2 .* r .^ 2 - 20 * im * omega .* r - 29) + 6 * im * omega .^ 3 .* r .^ 3 + 27 * omega .^ 2 .* r .^ 2 - 50 * im * omega .* r - 62))) ./ (r .^ 7 .* (1 - x .^ 2) .* (-2 * M + r) .^ 4)
11,32 * im * M .* spina .* (-2496 * M .^ 4 + 48 * M .^ 3 .* m .^ 2 .* r + 608 * im * M .^ 3 .* omega .* r .^ 2 + 5232 * M .^ 3 .* r - 16 * im * M .^ 2 .* m .^ 2 .* omega .* r .^ 3 - 84 * M .^ 2 .* m .^ 2 .* r .^ 2 + 60 * M .^ 2 .* omega .^ 2 .* r .^ 4 - 1108 * im * M .^ 2 .* omega .* r .^ 3 - 4152 * M .^ 2 .* r .^ 2 + 20 * im * M .* m .^ 2 .* omega .* r .^ 4 + 52 * M .* m .^ 2 .* r .^ 3 - 6 * im * M .* omega .^ 3 .* r .^ 6 - 120 * M .* omega .^ 2 .* r .^ 5 + 730 * im * M .* omega .* r .^ 4 + 1492 * M .* r .^ 3 - 6 * im * m .^ 2 .* omega .* r .^ 5 - 11 * m .^ 2 .* r .^ 4 + m .* r .* x .* (2 * M - r) .* (24 * M .^ 2 + 2 * M .* r .* (-6 * im * omega .* r - 13) + r .^ 2 .* (6 * omega .^ 2 .* r .^ 2 + 2 * im * omega .* r + 13)) - 4 * omega .^ 4 .* r .^ 8 + 21 * im * omega .^ 3 .* r .^ 7 + 63 * omega .^ 2 .* r .^ 6 - 164 * im * omega .* r .^ 5 - 206 * r .^ 4 + (2496 * M .^ 4 + 32 * M .^ 3 .* r .* (-19 * im * omega .* r - 157) + 4 * M .^ 2 .* r .^ 2 .* (-15 * omega .^ 2 .* r .^ 2 + 257 * im * omega .* r + 951) + 2 * M .* r .^ 3 .* (3 * im * omega .^ 3 .* r .^ 3 + 60 * omega .^ 2 .* r .^ 2 - 319 * im * omega .* r - 644) + r .^ 4 .* (4 * omega .^ 4 .* r .^ 4 - 21 * im * omega .^ 3 .* r .^ 3 - 63 * omega .^ 2 .* r .^ 2 + 138 * im * omega .* r + 165)) .* cos(2 * acos(x))) ./ (r .^ 7 .* sqrt(1 - x .^ 2) .* (-2 * M + r) .^ 4)
12,-32 * im * M .* spina .* (m .* (72 * M .^ 2 + 2 * M .* r .* (-10 * im * omega .* r - 47) + r .^ 2 .* (-6 * omega .^ 2 .* r .^ 2 + 22 * im * omega .* r + 31)) + x .* (40 * M .^ 2 + 2 * M .* r .* (-4 * im * omega .* r - 29) + 5 * r .^ 2 .* (2 * im * omega .* r + 5))) ./ (r .^ 6 .* (2 * M - r) .^ 3)
