Index,Coefficient
00,(2 * M .* (m .^ 2 - 4 * m .* x + 6 * im * omega .* r + x .^ 2 .* (-6 * im * omega .* r + 2) + 2) - r .* (m .^ 2 - 4 * m .* x - omega .^ 2 .* r .^ 2 + 4 * im * omega .* r + x .^ 2 .* (omega .^ 2 .* r .^ 2 - 4 * im * omega .* r + 2) + 2)) ./ (2 * r .^ 6 .* (-2 * M + r) .* (x .^ 2 - 1))
01,-x ./ (2 * r .^ 6 .* sqrt(1 - x .^ 2))
02,-1 ./ (2 * r .^ 6)
03,0
04,0
05,0
06,0
10,(-M + r) ./ r .^ 6
11,0
12,0
13,0
14,0
15,0
16,0
20,-(-2 * M + r) ./ (2 * r .^ 5)
21,0
22,0
23,0
24,0
25,0
26,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
